Flow_Name,LCA_Amount,LCA_Unit,Is_Input,Reference_Product,Flow_Type,Category,Context,UUID,Description
374 ppm REO Feed,1043142.7399884813,kg,True,False,Solid Input,Technosphere flows,,,
50% Caustic Solution,20173.25641871141,kg,True,False,Chemicals,Technosphere flows,,,
73.4% REO Product,1.0,kg,False,True,Solid Output,Technosphere flows,,,
Ascorbic Acid,1650.5391615309304,kg,True,False,Chemicals,Technosphere flows,,,
Carbon dioxide,0.6815914730164249,kg,False,False,Emissions to air,Elementary flows,emission/air,b6f010fb-a764-3063-af2d-bcb8309a97b7,
DEHPA,556550.4348873401,kg,True,False,Chemicals,Technosphere flows,,,
"Electricity, AC, 120 V",1195.6535272432395,kWh,True,False,Electricity,Technosphere flows,,,
Hydrochloric Acid,2756.5680887861254,kg,True,False,Chemicals,Technosphere flows,,,
Kerosene,467689.44108179846,kg,True,False,Chemicals,Technosphere flows,,,
Natural Gas,3366.0812486780283,m3,True,False,Heat,Technosphere flows,,,
Nitrogen,7.49189830540131,kg,False,False,Emissions to air,Elementary flows,emission/air,b11bd361-08c0-33b4-b624-2baae45ed7d8,
Oxalic Acid,22279.56970971501,kg,True,False,Chemicals,Technosphere flows,,,
Oxygen,1.2848708687982693,kg,False,False,Emissions to air,Elementary flows,emission/air,22144b1f-4fc0-3643-953b-ede9a14e9ed4,
Solid Waste,1022744.5956966131,kg,False,False,Solid Waste,Waste flows,,,
Sulfuric Acid,50544.89972209163,kg,True,False,Chemicals,Technosphere flows,,,
Wastewater,15819644.901858106,L,False,False,Wastewater,Waste flows,,,
Water,12.157394456709312,kg,False,False,Emissions to air,Elementary flows,emission/air,e430eaa1-80c8-376d-a3bf-816c9a741807,
Water,4981.644201617975,m3,True,False,Water,Elementary flows,resource/water,e2eb491c-78ff-3123-9e42-494c7d199b44,raw fresh water
